所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型
营销管理（潜在客户管理）,验证联系电话为空能否正常添加,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：50
联系人：王涛
联系电话：
创建人：leiyu
客户来源：打电话
潜在客户描述：爱打游戏

",添加成功,中等,功能测试
营销管理（潜在客户管理）,验证电话号码小于11为能否添加成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：51
联系人：王涛
联系电话：151826325
创建人：leiyu
客户来源：打电话
潜在客户描述：爱打游戏

",添加失败，给出提示，手机号格式错误,中等,功能测试
营销管理（潜在客户管理）,验证电话号码大于11位能否添加成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：51
联系人：王涛
联系电话：15182632522234
创建人：leiyu
客户来源：打电话
潜在客户描述：爱打游戏

",添加失败，提示手机号格式错误,中等,功能测试
营销管理（潜在客户管理）,验证手机号有中文是否能添加成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：51
联系人：王涛
联系电话：15182算数
创建人：leiyu
客户来源：打电话
潜在客户描述：爱打游戏

",添加失败，给出提示手机号格式错误,中等,功能测试
营销管理（潜在客户管理）,验证手机号位英文能否正常添加,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：51
联系人：王涛
联系电话：15182sdf
创建人：leiyu
客户来源：打电话
潜在客户描述：爱打游戏

",添加失败，给出提示1手机号格式1错误,中等,功能测试
营销管理（潜在客户管理）,验证手机号位1特殊字符能否1添加成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：51
联系人：王涛
联系电话：1518……%￥#
创建人：leiyu
客户来源：打电话
潜在客户描述：爱打游戏

",添加失败，给出提示，手机号格式错误,中等,功能测试
营销管理（潜在客户管理）,验证创建人为空能否添加成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：51
联系人：王涛
联系电话：15182632544
创建人：
客户来源：打电话
潜在客户描述：爱打游戏

",提交失败，给出提示创建人不能为空,中等,功能测试
营销管理（潜在客户管理）,验证手动输入其他人能否添加成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：51
联系人：王涛
联系电话：15182632544
创建人：叶红
客户来源：打电话
潜在客户描述：爱打游戏

",提交失败，给出提示没有这个提交人,中等,功能测试
营销管理（潜在客户管理）,验证选择当前登录系统用户,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：51
联系人：王涛
联系电话：15182632544
创建人：leiyu
客户来源：打电话
潜在客户描述：爱打游戏

",添加成功,中等,功能测试
营销管理（潜在客户管理）,验证创建人选择任意一人添加,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：51
联系人：王涛
联系电话：15182632544
创建人：站长
客户来源：打电话
潜在客户描述：爱打游戏

",添加失败，提示该用户不是当前系统用户,中等,功能测试
营销管理（潜在客户管理）,验证创建人输入框输入特殊字符,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：51
联系人：王涛
联系电话：15182632544
创建人：#￥%
客户来源：打电话
潜在客户描述：爱打游戏

",添加失败,中等,功能测试
营销管理（潜在客户管理）,验证客户来源为空能否添加成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：51
联系人：王涛
联系电话：15182632544
创建人：leiyu
客户来源：
潜在客户描述：爱打游戏

",添加成功,中等,功能测试
营销管理（潜在客户管理）,验证客户来源输入超长字符能否添加成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：51
联系人：王涛
联系电话：15182632544
创建人：leiyu
客户来源：圣诞节还是觉得结婚的结婚三大件撒谎大家
潜在客户描述：爱打游戏

",提交失败,中等,功能测试
营销管理（潜在客户管理）,验证客户来源输入特殊字符能否添加成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：51
联系人：王涛
联系电话：15182632544
创建人：leiyu
客户来源：￥%……
潜在客户描述：爱打游戏

",添加失败,中等,功能测试
营销管理（潜在客户管理）,验证客户来源输入非法数据能否添加成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：51
联系人：王涛
联系电话：15182632544
创建人：leiyu
客户来源：“非法数据”
潜在客户描述：爱打游戏

",添加失败,中等,功能测试
营销管理（潜在客户管理）,验证潜在客户描述为空是否能添加,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：51
联系人：王涛
联系电话：15182632544
创建人：leiyu
客户来源：打电话
潜在客户描述：

",添加失败，并且给出提示描述不能为空,中等,功能测试
营销管理（潜在客户管理）,验证客户描述输入中英文是否能添加成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：51
联系人：王涛
联系电话：15182632544
创建人：leiyu
客户来源：打电话
潜在客户描述：他非常good

",添加成功,中等,功能测试
营销管理（潜在客户管理）,验证潜在客户描述位特殊字符能否1添加成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：51
联系人：王涛
联系电话：15182632544
创建人：leiyu
客户来源：打电话
潜在客户描述：￥#@#

",添加失败，提示不能包含特殊字符,中等,功能测试
营销管理（潜在客户管理）,验证输入框内容都正确点击保存按钮,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击潜在客户管理
3.点击添加
输入：
潜在客户名称：王涛
成功几率：51
联系人：王涛
联系电话：15182632544
创建人：leiyu
客户来源：打电话
潜在客户描述：爱吃鸡

",点击保存按钮成功，保存成功,中等,功能测试
营销管理（潜在客户管理）,验证点击取消按钮,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录",点击取消按钮,直接退回到开始页面,中等,功能测试
营销管理（潜在客户管理）,验证点击编辑按钮能否正常跳出编辑页面,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.选择一行需要编辑的内容
2.点击编辑
3.输入需要修改的内容
4。点击保存",保存成功,中等,功能测试
营销管理（潜在客户管理）,验证点击删除按钮能否正常删除,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.选择需要删除的一行1
2.点击删除
3.点击确定",删除成功,中等,功能测试
营销管理（潜在客户管理）,验证点击删除按钮再点击取消删除,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击需要删除的一行
2.点击删除
3.点击取消",取消删除成功,中等,功能测试
营销管理（潜在客户管理）,验证直接点击删除按钮能否删除成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录",1.点击删除按钮,删除失败，提示先选择需要删除的一行内容,中等,功能测试
营销管理（潜在客户管理）,验证输入关键字点击查询能否查询成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.输入王涛
2.点击查询",列表中会出现王涛的相关信息,中等,功能测试
营销管理（潜在客户管理）,验证关键字为空点击查询,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录",1.点击查询,列表中出现全部的客户的信息,中等,功能测试
营销管理（潜在客户管理）,验证点击高级查询,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击高级查询
2.输入相关的字段
3.点击保存",查询成功,中等,功能测试
营销管理（客户开发计划管理）,验证创建人为空能否正常添加潜在客户,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击客户开发计划管理
3.输入
创建人：
计划实施方式：打电话
潜在客户：客户3
计划主题：买买买
计划时间：2020/2/9
计划内容：随便写",保存失败，提示创建人不能为空,中等,功能测试
营销管理（客户开发计划管理）,验证创建认为当前登录用户,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击客户开发计划管理
3.输入
创建人：雷宇
计划实施方式：打电话
潜在客户：客户3
计划主题：买买买
计划时间：2020/2/9
计划内容：随便写",保存成功,中等,功能测试
营销管理（客户开发计划管理）,验证创建人为其他系统用户,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击客户开发计划管理
3.输入
创建人：admin
计划实施方式：打电话
潜在客户：客户3
计划主题：买买买
计划时间：2020/2/9
计划内容：随便写",保存失败，提示创建人不是当前登录系统用户,中等,功能测试
营销管理（客户开发计划管理）,验证创建人为不相干人,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击客户开发计划管理
3.输入
创建人：叶红
计划实施方式：打电话
潜在客户：客户3
计划主题：买买买
计划时间：2020/2/9
计划内容：随便写",保存失败,中等,功能测试
营销管理（客户开发计划管理）,验证计划实施方式为空能否正常添加,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击客户开发计划管理
3.输入
创建人：雷雨
计划实施方式：
潜在客户：客户3
计划主题：买买买
计划时间：2020/2/9
计划内容：随便写",保存失败，提示计划实施不能为空,中等,功能测试
营销管理（客户开发计划管理）,验证计划实施方式为除选项之外的方式,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击客户开发计划管理
3.输入
创建人：雷雨
计划实施方式：坐车
潜在客户：客户3
计划主题：买买买
计划时间：2020/2/9
计划内容：随便写",保存失败,中等,功能测试
营销管理（客户开发计划管理）,验证潜在客户为空是否能正常添加,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击客户开发计划管理
3.输入
创建人：雷雨
计划实施方式：打电话
潜在客户：
计划主题：买买买
计划时间：2020/2/9
计划内容：随便写",保存成功,中等,功能测试
营销管理（客户开发计划管理）,验证计划主题为空能否正常添加,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击客户开发计划管理
3.输入
创建人：雷雨
计划实施方式：打电话
潜在客户：客户3
计划主题：买买买
计划时间：2020/2/9
计划内容：随便写",保存失败,中等,功能测试
营销管理（客户开发计划管理）,验证计划主题为特殊字符能否添加成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击客户开发计划管理
3.输入
创建人：雷雨
计划实施方式：打电话
潜在客户：客户3
计划主题：#￥%
计划时间：2020/2/9
计划内容：随便写",保存失败，提示计划主题格式错误,中等,功能测试
营销管理（客户开发计划管理）,验证计划时间选择小于当系统时间间能否1添加成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击客户开发计划管理
3.输入
创建人：雷雨
计划实施方式：打电话
潜在客户：客户3
计划主题：买买买
计划时间：2020/2/1
计划内容：随便写",保存失败，提示创建时间为当前系统时间,中等,功能测试
营销管理（客户开发计划管理）,验证计划时间选择大于于当前系统时间能否添加成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击客户开发计划管理
3.输入
创建人：雷雨
计划实施方式：打电话
潜在客户：客户3
计划主题：买买买
计划时间：2020/2/22
计划内容：随便写",保存失败，提示创建时间为当前系统时间,中等,功能测试
营销管理（客户开发计划管理）,验证计划时间为空能否添加成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击客户开发计划管理
3.输入
创建人：雷雨
计划实施方式：打电话
潜在客户：客户3
计划主题：买买买
计划时间：
计划内容：随便写",保存失败，提示时间不能为空,中等,功能测试
营销管理（客户开发计划管理）,验证不填写计划内容是否能添加成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击客户开发计划管理
3.输入
创建人：雷雨
计划实施方式：打电话
潜在客户：客户4
计划主题：买买买
计划时间：2020/2/9
计划内容：",保存失败，提示计划内容不能为空,中等,功能测试
营销管理（客户开发计划管理）,验证保证输入框内容都正确的情况，点击保存,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录",点击保存,能正常点击,中等,功能测试
营销管理（客户开发计划管理）,验证保证输入框内容都正确的情况，点击取消,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录",点击取消,点击取消之后，回到开始页面,中等,功能测试
营销管理（客户开发计划管理）,验证是否能点击编辑按钮,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击客户开发计划
3.需要编辑的一行
4。点击编辑
5.输入需要修改的内容
6.点击保存",编辑成功,中等,功能测试
营销管理（客户开发计划管理）,验证删除按钮的正确性,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击客户开发计划
3.点击需要删除的一行
4.点击删除
5.点击确定",删除成功,中等,功能测试
营销管理（客户开发计划管理）,验证删除按钮正确性,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击客户开发计划
3.点击需要删除的一行
4.点击删除
5.点击取消",直接回到原来页面,中等,功能测试
营销管理（客户开发计划管理）,验证在有网的情况下点击刷新按钮的正确性,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击客户开发计划
3.点击刷新",刷新成功,中等,功能测试
营销管理（客户开发计划管理）,验证输入关键字点击查询能否查询成功,"使用chrome浏览器输入localhost：8082进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击客户开发计划
3.输入关键字：admin
4.点击查询",创建认为admin的信息全部显示出来,中等,功能测试
营销管理（客户开发计划管理）,验证不输入关键字点击查询的正确性,"使用chrome浏览器输入localhost：8083进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击客户开发计划
3.点击查询",全部客户的信息会显示出来,中等,功能测试
营销管理（客户开发计划管理）,验证输入部分字段进行查询,"使用chrome浏览器输入localhost：8084进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击营销管理
2.点击客户开发计划
3.输入adm
4.点击查询",查询成功,中等,功能测试
售后管理（保修管理）,验证保修时间不填写是否能添加成功,"使用chrome浏览器输入localhost：8085进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击售后管理
2.点击保修管理
3.点击添加
输入
保修时间：
保修状态：维修
保修客户：客户1
保修单明细
4.点击新增明细
保修时间：2020/2/9
保修内容：手机
是否解决：已解决",添加失败，保修时间不能为空,中等,功能测试
售后管理（保修管理）,验证保修时间小于当前日期的正确性,"使用chrome浏览器输入localhost：8086进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击售后管理
2.点击保修管理
3.点击添加
输入
保修时间：2020/2/1
保修状态：维修
保修客户：客户1
保修单明细
4.点击新增明细
保修时间：2020/2/1
保修内容：手机
是否解决：已解决",添加失败，日期不能低于当前日期,中等,功能测试
售后管理（保修管理）,验证保修时间大于当前日期的正确性,"使用chrome浏览器输入localhost：8087进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录","1.点击售后管理
2.点击保修管理
3.点击添加
输入
保修时间：2020/2/1
保修状态：维修
保修客户：客户1
保修单明细
4.点击新增明细
保修时间：2020/2/11
保修内容：手机
是否解决：已解决",添加失败，日期不能大于当前日期,中等,功能测试
售后管理（保修管理）,验证保修单页面显示的正确性,"使用chrome浏览器输入localhost：8088进入客户资源管理系统
输入默认用户和密码，在输入验证码，点击登录",,正常显示,中等,功能测试
